full_name,a,e,i,om,w,q,ad,per_y,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
" 16816 (1997 UF9)",1.442466190762854,.6038961042733663,25.90555944445809,37.19443688406104,157.9139601788045,.571366477615124,2.313565903910584,1.73247376338675,16.1,,,,,,,,,,
" 16834 (1997 WU22)",1.467874335449748,.4420076713825894,15.98865946526523,260.8224151397507,334.2896747599804,.819062618555339,2.116686052344157,1.77844942011481,15.5,1.87,,0.22,9.345,,,,,S,
" 16912 Rhiannon (1998 EP8)",1.751202781231121,.2725448146189196,24.52525117454044,169.224043055818,221.1545927242585,1.273921543860349,2.228484018601894,2.31746327039267,18.0,,,,,,,,,,
" 16960 (1998 QS52)",2.202905260390523,.8579797916916232,17.55956490634404,260.5610331078586,242.847103568571,.3128570639642811,4.092953456816765,3.26965501560651,14.3,,,,5.789,,,,,Sq,
" 17181 (1999 UM3)",2.372831291532845,.6733759557270756,10.65446389279223,113.6075552561549,36.76685763168177,.7750237528178041,3.970638830247886,3.6551776851158,16.3,,,,,,,,,,
" 17182 (1999 VU)",1.386930691600134,.5533131765510051,9.27370708740939,333.5502483304096,203.1146460006868,.6195236649747816,2.154337718225487,1.63339168533459,16.9,,,,,,,,,,
" 17188 (1999 WC2)",2.216789281608664,.6365829213270822,29.44124421615765,269.8699885187856,287.2066192931434,.805619084755657,3.627959478461672,3.30061463985823,16.5,,,,5.352,,,,,,
" 17274 (2000 LC16)",2.724742250270242,.558012085130958,5.621465851292821,306.1269280877839,20.85328371416519,1.204303145752526,4.245181354787959,4.4977606576669,16.6,,,,16.495,,,,,Xk,
" 17511 (1992 QN)",1.18988761858031,.358773439776265,9.583341264149407,355.9565081237411,202.3324494664374,.7629875447150636,1.616787692445556,1.29797736940117,17.1,,,,5.9902,,,,,X,
" 18106 Blume (2000 NX3)",2.442483319676092,.5127066302060118,4.221016140107169,109.2594850902684,234.9587580910633,1.19020592751057,3.694760711841614,3.81729402037531,17.7,,,,,,,,,,
" 18109 (2000 NG11)",1.88075990328547,.3678233745002256,.8092789096912646,59.47891864693113,319.2227279029186,1.188972449034291,2.57254735753665,2.57933789198068,17.0,,,,4.2534,,,,,,
" 18172 (2000 QL7)",2.426752419102424,.5097115795539688,17.83049874176429,338.6043866290364,100.6835530359297,1.189808610375312,3.663696227829536,3.78047533640518,15.4,,,,,,,,,,
" 18736 (1998 NU)",2.352724573189247,.4882242824454693,2.807422524982534,297.5602785385451,222.7846431278377,1.204067306652104,3.501381839726391,3.60881679336006,15.8,,,,,,,,,Sk,
" 18882 (1999 YN4)",1.685212543448075,.2317618597925418,36.81750373278771,291.7194411270427,242.6458752617244,1.29464455023283,2.075780536663321,2.18771239195473,15.9,,,,,,,,,S,
" 19356 (1997 GH3)",2.502615960969569,.5629279021072926,3.002558928903537,186.7112101975139,333.8412125950819,1.093823608280743,3.911408313658394,3.95912776715109,16.8,0.91,,0.34,6.714,,,,,S,
" 19764 (2000 NF5)",2.231717543362673,.4443521555399571,1.330174649905666,281.6711622421258,9.366052435461643,1.240049042413132,3.223386044312215,3.33401111503748,15.9,,,,59.3,,,,,,
" 20086 (1994 LW)",3.181173478667237,.6245052251158467,21.8969307605545,238.3036887410328,56.997400717963,1.194514019239593,5.167832938094882,5.67399869939831,16.8,,,,,,,,,,
" 20236 (1998 BZ7)",2.035543491526082,.5590064487130015,6.500991844899761,111.5382773182254,104.1842547061193,.8976615531272231,3.17342542992494,2.90421511394793,17.6,,,,10.182,,,,,,
" 20255 (1998 FX2)",2.153146012844152,.4906715370048604,9.945522307954262,180.9770794878351,17.53812242177377,1.096658549326025,3.209633476362279,3.1595004763998,18.2,,,,6.826,,,,,Sq,
" 20425 (1998 VD35)",1.56445835160999,.4764891973320178,6.983476729102077,227.3923178428952,296.1288925155134,.8190108473919742,2.309905855828005,1.95683501680989,20.4,,,,,,,,,Sq,
" 20429 (1998 YN1)",1.55597689756829,.4640797019036084,6.299293636844183,61.78661829825246,147.579785453179,.8338796027758963,2.278074192360684,1.94094361420648,17.6,,,,2.7180,,,,,,
" 20460 Robwhiteley (1999 LO28)",1.876930587812621,.4119954200844614,33.93917901358375,280.1069371455577,283.6227980791422,1.103643781817385,2.650217393807857,2.57146442348335,15.2,,,,,,,,,,
" 20790 (2000 SE45)",2.738773814724181,.5618217320634307,8.339018222974911,302.9841196827531,168.8482664078484,1.200071166405872,4.27747646304249,4.53254842460793,16.4,,,,2.792,,,,,S,
" 20826 (2000 UV13)",2.423971924615294,.632734957989287,31.88073125640427,347.3584356160396,198.584267343352,.8902401507266248,3.957703698503964,3.77397987818699,13.7,,,,12.,,,,,Sq,
" 21277 (1996 TO5)",2.378935297285704,.5191409661985672,20.95121706685931,167.4355187027481,250.2022753394936,1.143932528528928,3.61393806604248,3.66929093131466,16.0,,,,,,,,,,
" 21374 (1997 WS22)",1.269501469506921,.1206605024823059,23.9829775592598,59.23650951549199,197.190819391619,1.116322784294191,1.422680154719652,1.43040168864152,17.3,,,,,,,,,,
" 22099 (2000 EX106)",1.104230548903356,.2762023185936193,9.84475673473891,136.4910976859858,186.5453489018484,.799239511034344,1.409221586772367,1.16037359889877,18.0,,,,6.334,,,,,S:,
" 22753 (1998 WT)",1.2189203500601,.5699229091051957,3.206581048834317,307.5214548725978,324.6460255862137,.5242297181863242,1.913610981933876,1.34577108794243,17.7,,,,10.24,,,,,,
" 22771 (1999 CU3)",1.576541270061614,.5242445576253815,11.40052359033511,339.0379257206943,305.6868774426196,.7500480893600063,2.403034450763222,1.97954882647272,16.8,,,,3.7820,,,,,Sl,
" 23183 (2000 OY21)",1.824111592624135,.4012818786545592,40.9599702370237,119.7058603957742,301.4297037338667,1.092128665860362,2.556094519387908,2.46368572614947,15.9,,,,6.981,,,,,,
" 23187 (2000 PN9)",1.846701957870118,.5896200950614778,51.31092893270355,164.3714618191157,293.5391249684609,.7578493739205218,2.935554541819714,2.50959370723153,16.1,,,,2.5325,,,,,,
" 23548 (1994 EF2)",2.291922638572005,.516635511450934,23.36363100590856,346.190283981028,123.8589209008062,1.107834013987383,3.476011263156626,3.46982949070919,17.1,,,,,,,,,Q,
" 23606 (1996 AS1)",1.75031119711837,.360916052257352,14.36313867807734,296.6758284503164,357.4581114098641,1.118595789632568,2.382026604604171,2.31569367199795,18.5,,,,,,,,,,
" 23714 (1998 EC3)",2.127881357419034,.5167166741766489,8.397635504763787,127.8811918403188,128.9697218965236,1.028369579370978,3.227393135467091,3.10405434946007,16.6,,,,,,,,,,
" 24443 (2000 OG)",2.310942912572751,.8220919771984683,25.79118587591429,178.2400746056801,231.0986149365769,.4111352843830311,4.210750540762471,3.51311226283333,16.2,,,,,,,,,,
" 24445 (2000 PM8)",2.210371916838024,.5451908943449922,23.8608421948569,203.3776962352167,218.6860699794929,1.005297274662047,3.415446559014,3.28629263492422,14.6,,,,6.811,,,,,,
" 24475 (2000 VN2)",1.974645912667749,.4417678435617851,14.63957441072964,76.49748170758812,32.62938093560108,1.102310846030424,2.846980979305074,2.77486620810754,16.3,,,,,,,,,Sa,
" 24761 Ahau (1993 BW2)",1.334958238859524,.3058524278734105,21.92106946286794,121.0955708900791,287.4863752342526,.9266580203947262,1.743258457324321,1.54244512503786,17.2,,,,,,,,,,
" 25143 Itokawa (1998 SF36)",1.324085391234018,.2801673209030409,1.621557961350106,69.08451038994221,162.8112811174637,.9531199345251286,1.695050847942908,1.52363939512956,19.2,0.33,0.535x0.294x0.209,,12.132,2.1e-9,,,,S(IV),
" 25330 (1999 KV4)",1.54046054897546,.3708693143963397,14.32904179575289,50.6261892561412,85.96263074002067,.9691510013223222,2.111770096628598,1.91198320510406,16.6,3.21,,0.052,4.919,,,,,B,
" 25916 (2001 CP44)",2.560879941861374,.4984018757034021,15.74889737021068,94.72916655265264,199.7471797013476,1.284532575386446,3.837227308336302,4.09818944128732,13.4,,,,4.19,,,,,,
" 26166 (1995 QN3)",3.302907204850038,.644130926326831,14.78905395220428,185.740221059974,62.83665585196116,1.175402527418419,5.430411882281656,6.00278461537025,16.8,,,,,,,,,,
" 26310 (1998 TX6)",2.139040800328483,.4700594247509199,5.370180794404485,211.0971855009813,98.54155448943274,1.133564512207329,3.144517088449636,3.12850465071305,19.2,,,,,,,,,,
" 26379 (1999 HZ1)",1.605892112760704,.5762520792361023,8.68903143678045,252.1963191464277,200.4653458176194,.6804934437534912,2.531290781767918,2.03508592155809,18.0,,,,,,,,,,
" 26663 (2000 XK47)",1.5458821891588,.471764815459951,13.54013039473985,303.7086598461466,231.0688168775075,.8165893634674739,2.275175014850127,1.92208589856103,18.1,,,,2.572,,,,,,
" 26760 (2001 KP41)",2.859030692185509,.5558401169237684,10.9936549970861,146.2665944822602,154.969342151464,1.269866737952473,4.448194646418544,4.83433151250199,15.3,,,,5.300,,,,,,
" 26817 (1987 QB)",2.803431221150554,.5936169157759722,3.494936807357232,153.2137918804827,156.5081993537602,1.139267026061095,4.467595416240013,4.6939997352092,19.5,,,,,,,,,,
" 27002 (1998 DV9)",1.743626300515961,.4334990830577238,8.697344922831144,130.3986801642278,.7253753472046807,.987765898046961,2.499486702984961,2.30243998660563,18.2,,,,,,,,,,
" 27031 (1998 RO4)",2.138809245769156,.426431830030616,5.349388877569615,191.9909697493055,111.622945256053,1.226752905009413,3.050865586528899,3.12799666607546,17.8,,,,,,,,,,
" 27346 (2000 DN8)",1.875276733930894,.3987533171855918,36.94566842435734,135.2714422609007,269.2536264880733,1.127503915634988,2.623049552226801,2.56806641068579,15.8,,,,,,,,,,
" 29075 (1950 DA)",1.698581746580243,.5077350169633779,12.1704455214801,356.6849472289722,224.6413448654148,.8361523146666394,2.561011178493847,2.21379744232353,17.1,,,,2.1216,,,,,,
" 30825 (1990 TG1)",2.436326733448225,.680851629482365,8.740219104917704,205.0608853381728,33.67210685934597,.7775497070285535,4.095103759867897,3.80287016509913,14.8,,,,2.62428,,,,,,
