full_name,a,e,i,om,w,q,ad,per_y,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
" 90367 (2003 LC5)",1.155489292206127,.4262193504286329,16.87933697800236,86.87716336850546,313.7845435675249,.6629973966547906,1.647981187757463,1.24210151122355,17.7,,,,,,,,,,
" 90373 (2003 SZ219)",1.626885822380203,.2044565360882489,9.871604660489657,189.4552370153543,218.6541166655836,1.294258382525265,1.959513262235142,2.07512285654322,18.6,,,,,,,,,,
" 90403 (2003 YE45)",1.234586692283689,.2801922953081202,19.00533467789846,286.285373199116,306.8218238269151,.8886650132158627,1.580508371351516,1.37179933913708,17.6,,,,,,,,,,
" 90416 (2003 YK118)",1.694206133938922,.4918237844227914,7.842399151908459,326.9288076067666,233.0690112679379,.8609552615527747,2.527457006325069,2.20524871123899,18.5,,,,,,,,,,
" 96189 Pygmalion (1991 NT3)",1.820407590808335,.3075027888446774,13.99621336162672,287.2772083943851,293.0702729351599,1.260627179800752,2.380188001815918,2.45618547586719,16.4,,,,,,,,,,
" 96315 (1997 AP10)",1.443237708051536,.6434516657076229,6.654480372854811,293.1115400980299,356.1955736741198,.514584000793723,2.371891415309348,1.73386389528153,17.0,,,,5.872,,,,,,
" 96536 (1998 SO10)",2.296873658540526,.778255029458188,41.46566821187332,199.5896752619949,22.39535476046693,.5093201817513329,4.08442713532972,3.48107886870494,15.3,,,,,,,,,,
" 96590 (1998 XB)",.9079147328789033,.3512476808692167,13.59744532200101,75.77523997950558,202.6951848717448,.5890117885281942,1.226817677229612,0.865118895061835,16.2,,,,520.,,,,,S:,
" 96631 (1999 FP59)",1.699171517559157,.2595826738714611,1.772023577847927,19.70238134417203,303.7179123563957,1.258096031664923,2.140247003453391,2.21495053384906,18.1,,,,,,,,,,
" 96744 (1999 OW3)",2.092242871746468,.779715366755423,34.94795144545927,196.1518523487785,35.66267045320271,.4608889536612513,3.723596789831685,3.02640013464747,14.7,,,,,,,,,,
" 97725 (2000 GB147)",1.798120448011854,.3088928756390611,18.19305599607526,311.7965655506131,212.2349235869003,1.242693852080075,2.353547043943632,2.41121741669453,18.7,,,,,,,,,,
" 98943 (2001 CC21)",1.032477574821225,.2194119083222352,4.808773739878504,75.58908848030489,179.3320934576847,.805939699829787,1.259015449812664,1.04912960825237,18.5,,,,5.017,,,,,L,
" 99248 (2001 KY66)",1.866652919210214,.5072648436284742,10.62782234866501,284.3400226239775,61.23972979874024,.9197655180384098,2.813540320382018,2.55037218370822,16.2,,,,,,,,,,
" 99799 (2002 LJ3)",1.461562765471642,.2755239777794474,7.560233327304736,122.4749795628681,249.70995092,1.058867178554566,1.864258352388718,1.76699128682537,18.3,,,,,,,,,,
" 99907 (1989 VA)",.7284489495783539,.5946697257008509,28.79782885744063,225.6066098643966,2.841170888538727,.2952624125455213,1.161635486611187,0.621737244861433,17.9,1.4,,,2.514,,,,,Sq,
" 99935 (2002 AV4)",1.654201877224429,.6446923652920963,12.75365388139179,16.45743264158443,322.8343472147684,.5877505563259861,2.720653198122872,2.12760482363856,15.9,,,,,,,,,,
" 99942 Apophis (2004 MN4)",.9222817619292676,.1910740380932232,3.331282898266682,204.4572873665713,126.3951063520218,.7460576614177097,1.098505862440825,0.885734646907567,19.7,0.325,,0.23,30.4,,,,,Sq,
"100004 (1983 VA)",2.595898732824984,.6997035407473933,16.28653182289429,77.33733453044243,12.06095116558461,.7795391980456713,4.412258267604297,4.18253729243055,16.4,2.70,,0.0668,3.1643,,,,,,
"100085 (1992 UY4)",2.639837345424585,.6248138033200803,2.803273003424704,308.3974224811782,38.32839367757302,.9904305334834655,4.289244157365705,4.28917686653583,17.8,,,,12.9060,,,,,,
"100756 (1998 FM5)",2.268601544602174,.5520201444637134,11.52541142688026,176.8642664198009,311.6291140781409,1.016287792220278,3.520915296984069,3.41700439523055,16.1,,,,6.35,,,,,S,
"100926 (1998 MQ)",1.782704909700607,.4077730183213694,24.22830769067994,221.1565616142143,138.6862033681136,1.055765947895666,2.509643871505548,2.38027641331862,16.7,,,,2.328,,,,,S,
"101869 (1999 MM)",1.624302994859359,.6107117098960905,4.765128432277493,111.0837645290639,268.6300333454872,.6323221354794594,2.61628385423926,2.07018315222512,19.3,,,,,,,,,,
"101873 (1999 NC5)",2.029466251286414,.3933192345333331,45.77071102761801,128.8532924961044,295.2549368950562,1.231238138819208,2.82769436375362,2.89121875722673,16.3,,,,,,,,,,
"101955 Bennu (1999 RQ36)",1.126391025968781,.2037451402076807,6.034935360109573,2.060867236483596,66.22307751262559,.8968943284540989,1.355887723483464,1.19547906407949,20.9,,,,4.288,,,,,,
"102873 (1999 WK11)",2.131998045303946,.4673034251557026,7.463377932506746,72.65284816799443,220.3978658020135,1.135708056308149,3.128288034299742,3.11306655400512,17.6,,,,,,,,,,
"103067 (1999 XA143)",1.843357359647471,.5817258729991557,38.54453858933212,116.6707996251521,103.9991639638758,.7710286903571275,2.915686028937815,2.50277903335569,16.6,,,,9.8490,,,,,,
"105140 (2000 NL10)",.9142684264258621,.8170116853148135,32.52412079246761,237.4070814260169,281.5791567552773,.1673004385215459,1.661236414330178,0.874216069486643,15.8,,,,6.9269,,,,,,
"105141 (2000 NF11)",1.421024903123061,.1891747923679141,14.82476584087954,123.750992937141,115.9102652174358,1.152202812125121,1.689846994121001,1.69398958400814,18.8,,,,,,,,,,
"106538 (2000 WK63)",2.42416967989493,.7636238143970523,10.33811199779234,163.4900233565742,41.62103090121,.5730159821878823,4.275323377601978,3.77444172739009,16.1,,,,,,,,,,
"106589 (2000 WN107)",2.150190743609471,.6145077846383337,14.32831185149923,163.4374232468931,11.6050958281538,.8288817932041637,3.471499694014778,3.15299791930535,16.0,,,,,,,,,,
"108519 (2001 LF)",1.6033785136781,.2711330018602992,16.39791513365057,267.3084109453304,343.7919478899084,1.168649684146252,2.038107343209948,2.03030970915411,17.9,,,,4.495,,,,,,
"108906 (2001 PL9)",1.235179062230937,.3604563600385542,20.92428069358198,172.091525764894,343.9637266727797,.7899509134633385,1.680407210998535,1.37278676696396,17.7,,,,,,,,,,
"111253 (2001 XU10)",1.753414377023159,.4396551154327977,42.04180013490119,310.1801890297427,6.898986445421841,.9825167766915148,2.524311977354802,2.32185474628197,15.1,,,,,,,,,,
"112221 (2002 KH4)",2.268577938921042,.4451154185328102,58.75205953249731,230.115978794144,356.2547812401584,1.258798920163902,3.278356957678182,3.41695106248033,15.6,,,,,,,,,,
"112985 (2002 RS28)",2.219963963988776,.4926040370052659,46.97738356397991,212.0041729913156,105.3622443850612,1.126400753321692,3.313527174655861,3.3077074343007,15.5,,,,,,,,,,
"115052 (2003 RD6)",1.668669115639089,.3183978110117296,31.31802222228126,190.5579699188277,88.19407339281685,1.137368521916724,2.199969709361454,2.15557701555612,17.3,,,,,,,,,,
"136564 (1977 VA)",1.865330401029456,.3943757027098314,2.981379063776517,224.5385813436448,172.5180060167924,1.129689413337453,2.60097138872146,2.54766226689628,19.1,0.4,,,,,.705,.205,,,XC
"136582 (1992 BA)",1.341791015718742,.06787039669271688,10.49786532034816,140.2153668944344,107.3596140985285,1.250723127203188,1.432858904234297,1.55430241468389,20.1,,,,,,,,,,
"136617 (1994 CC)",1.637780212315804,.4172266469518277,4.68423392229228,268.6034871509475,24.7567738833059,.9544546658872286,2.32110575874438,2.09600170576689,17.7,,,,2.38860,,,,,,
"136618 (1994 CN2)",1.57305185742566,.3950906521617419,1.438981756651154,99.33887720182115,248.2104147089017,.9515537731911168,2.194549941660204,1.97298035984473,16.8,,,,,,,,,,
"136635 (1994 VA1)",1.573262647851856,.1748550737674865,7.636967736975452,231.7676326023653,310.9754096837995,1.298169691506089,1.848355604197624,1.97337694496134,18.9,,,,,,,,,,
"136745 (1995 WL8)",2.36677903590918,.4833258937000698,17.77419243979299,248.0458258923609,131.60801087589,1.222853443187786,3.510704628630574,3.64120200295656,18.0,,,,,,,,,Sq,
"136770 (1996 PC1)",1.839101132344091,.4512255791008001,25.11071017495751,326.3024511348228,45.83590778942087,1.009251658877191,2.668950605810991,2.49411583650558,20.4,,,,,,,,,,
"136773 (1996 TR6)",1.584886602509708,.1804301764727429,22.09657455227106,196.3269605154688,117.5728294101914,1.298925233129596,1.870847971889821,1.99528755405848,18.6,,,,,,,,,,
"136793 (1997 AQ18)",1.146994270652086,.4653046696569186,17.37849991340798,296.3003062336527,36.97141480193356,.6132924804479388,1.680696060856233,1.22842904146238,18.4,,,,,,,,,C,
"136795 (1997 BQ)",1.745584873987517,.4782830838680435,11.00431640374425,50.22284374433897,147.4029066629737,.9107011573033573,2.580468590671676,2.30632048897467,18.1,,,,,,,,,S,
"136818 Selqet (1997 MW1)",.9377226246731458,.3465197079203117,12.77062022338225,260.0017661574876,203.7572264436588,.6127832546611393,1.262661994685152,0.908070974119725,19.1,,,,,,,,,,
"136839 (1997 WT22)",1.485679781082836,.3060345006375985,8.159854074647226,71.97696446555567,74.71484262210514,1.031010511171774,1.940349050993899,1.81090647573818,18.8,,,,,,,,,,
"136849 (1998 CS1)",1.491458954907341,.5781611969950425,7.790584866360509,110.8190641686173,97.62462797636425,.6291552602691376,2.353762649545545,1.82148316363875,17.6,,,,2.765,,,,,,
"136874 (1998 FH74)",2.200855097301596,.8846153360071823,21.23350458676581,197.5891847204063,193.3201018922191,.2539449258990247,4.147765268704168,3.26509165584466,15.7,,,,,,,,,,
"136897 (1998 HJ41)",1.363369588386598,.1248252230601768,38.87446000598764,211.8836013179658,120.0648387741622,1.193186675402779,1.533552501370416,1.59194700313855,18.4,,,,,,,,,,
"136900 (1998 HL49)",1.746641684494041,.6365456029229126,11.00294861889012,206.2127703114192,238.9513440641513,.63482460034749,2.858458768640592,2.30841524182248,17.3,,,,,,,,,,
"136923 (1998 JH2)",2.133853268785698,.4421277859074754,6.619230338075495,51.29831897270878,286.9124713875466,1.190417447606048,3.077289089965347,3.117130833346,16.2,,,,,,,,,,
"136993 (1998 ST49)",2.31027575766113,.5930801310524576,24.52235282332985,18.3656127715061,47.92799019622361,.9400971085401513,3.680454406782109,3.51159105199711,17.7,,,,2.3017,,,,,Q,
"137032 (1998 UO1)",1.59545038219393,.7630839077812182,25.50497341035321,358.5090883566139,252.4230514641566,.3779878698783478,2.812912894509512,2.01526960992233,16.6,,,,3.0,,,,,,
"137044 (1998 UC50)",2.269081612568354,.4294689625923033,4.384938681053428,335.1277290624507,166.0972944283553,1.294581486381352,3.243581738755355,3.41808908183005,16.6,,,,,,,,,,
"137052 Tjelvar (1998 VO33)",1.247878391614745,.8096889673596893,14.92501259435081,64.34350943880554,209.8536617486257,.2374850253177321,2.258271757911757,1.39401227833079,16.9,,,,9.02,,,,,V,
"137062 (1998 WM)",1.224577225325352,.3152683667979743,22.51508954027586,45.66175605469537,172.5378447020921,.8385067634790332,1.610647687171671,1.35515031231531,16.5,,,,,,,,,Sq,
"137064 (1998 WP5)",1.37416942880633,.1951053683369791,19.50167635873909,36.15426552863642,97.55895390003617,1.106061596241654,1.642277261371005,1.61090016532804,18.9,,,,,,,,,Sl,
"137078 (1998 XZ4)",1.937453821936413,.6388686825695152,23.20816242388523,324.511346530982,9.480444478817805,.6996752511766247,3.175232392696201,2.69684038125567,16.2,,,,,,,,,,
"137084 (1998 XS16)",1.212237014850347,.4966834940261254,26.55809391604702,273.0149273743321,358.2804947860315,.6101388987266769,1.814335130974018,1.33471798775999,16.2,,,,5.4211,,,,,,
"137099 (1998 YW3)",1.10006047077483,.4627716219231648,28.79557980243928,94.29778730920451,194.8154982339403,.5909837025008019,1.609137239048859,1.15380665877978,18.2,,,,,,,,,,
"137108 (1999 AN10)",1.458658435464055,.5621120560233719,39.93261061774513,314.4114540775356,268.311056156671,.6387289432695202,2.27858792765859,1.7617270152904,17.9,,,,,,,,,,
"137120 (1999 BJ8)",1.899383739702686,.5499918785796304,8.992272085901533,339.6385477985257,221.801276567782,.8547381085600021,2.94402937084537,2.61774462125589,18.1,,,,,,,,,,
"137125 (1999 CT3)",1.426867138073976,.1318405766251819,34.23561586025202,321.9434676177434,268.2082338155639,1.23874815182278,1.614986124325172,1.70444701883966,18.5,,,,,,,,,,
"137126 (1999 CF9)",1.772616933744021,.6004164661169741,5.546640502756388,157.1252464555042,90.22193483671714,.7083085386063295,2.836925328881712,2.3601007502402,18.0,,,,,,,,,Q,
"137158 (1999 FB)",1.180000891357056,.606862283774488,12.89779560975979,37.14174282639443,2.995244498144919,.4639028555721815,1.896098927141931,1.28183375936339,17.9,,,,,,,,,Q,
"137170 (1999 HF1)",.8191090105173182,.462429637531254,25.66194134615565,155.8948933560885,253.3736192416538,.4403287276852106,1.197889293349426,0.741345673427687,14.5,,,,2.3192,,,,,X:,
"137175 (1999 JA11)",1.261272963996968,.3411875927755334,16.43299223881208,116.2833835214172,328.2933142998979,.8309422775779806,1.691603650415956,1.41651713394408,18.4,,,,,,,,,,
"137199 (1999 KX4)",1.4570697365307,.2925946609566168,16.57134082737912,104.9535464860161,76.39026755179984,1.030738910980353,1.883400562081047,1.75884961966763,16.9,,,,2.767,,,,,,
"137427 (1999 TF211)",2.448299991038218,.6102683426199023,39.18530374080544,348.1485119006761,161.7665593838836,.9541800132710032,3.942419968805433,3.8309382234871,15.1,,,,,,,,,,
"137671 (1999 XP35)",1.434677952864695,.1841652975602205,21.10417427087094,263.4893623179865,198.2169657413098,1.17046006077228,1.698895844957109,1.71846162718833,18.5,,,,,,,,,,
"137799 (1999 YB)",1.321342346502651,.07493717538377059,6.790047396516317,31.00957831212018,192.7923695631504,1.222324683340778,1.420360009664523,1.51890717122249,18.5,,,,,,,,,Sq,
"137802 (1999 YT)",1.776555622110924,.351965940010701,31.58468197952521,116.4769501645445,272.6183797688202,1.151268552593357,2.401842691628492,2.36797120123017,17.0,,,,,,,,,,
"137805 (1999 YK5)",.8292668909663879,.5584011502299002,16.74104134598151,349.5946084672097,292.8268074558476,.3662033052031837,1.292330476729592,0.75517862962894,16.6,,,,,,,,,X,
"137911 (2000 AB246)",2.306613029704891,.4918089295860084,3.744615310768407,29.74824397007191,311.667493512701,1.172200144596589,3.441025914813194,3.50324340987143,17.6,,,,,,,,,,
"137924 (2000 BD19)",.8764470215264383,.8950710354239727,25.71104284765185,333.7425096325972,324.3052303539766,.09196467847451227,1.660929364578364,0.820534236384771,17.2,,,,,,,,,,
"137925 (2000 BJ19)",1.291865477073434,.7638643917119701,31.1115075068966,131.246254998318,175.4762077425925,.3050554402550413,2.278675513891827,1.4683653958148,15.9,,,,,,,,,Q,
"138013 (2000 CN101)",1.598407694872094,.6352025854130056,15.96407123022739,183.427281963227,118.626864165688,.5830949945452972,2.61372039519889,2.02087543445742,14.6,,,,,,,,,,
"138095 (2000 DK79)",1.776509202532633,.4143521128013082,60.68324128440923,43.47606365615751,2.50694052065716,1.040408861052269,2.512609544012997,2.36787839284423,15.9,,,,,,,,,,
"138127 (2000 EE14)",.6617836483150743,.533056832607932,26.46523990616026,155.7767966038855,197.8182628117341,.3090153528725192,1.01455194375763,0.538371734483066,17.0,,,,,,,,,,
"138155 (2000 ES70)",1.808473822957063,.3196705391487054,25.44522201669916,177.7865109346618,281.500904696696,1.230358020936058,2.386589624978068,2.43207264270858,17.2,,,,,,,,,,
"138175 (2000 EE104)",1.004906479529183,.2935119605883378,5.241738172578826,25.8775799945207,280.8581562057338,.709954408514648,1.299858550543718,1.00738776526158,20.3,,,,,,,,,,
"138205 (2000 EZ148)",2.578253522240016,.6177897718284477,11.04455971458397,4.938800529366719,304.4567715576993,.9854348670194648,4.171072177460568,4.1399646408092,15.0,,,,,,,,,S:,
"138258 (2000 GD2)",.7577862220493186,.4766822233805846,32.13825478834737,358.1355857426058,16.95532659804633,.3965630008756761,1.119009443222961,0.659672316962367,19.1,,,,,,,,,Sq,
"138325 (2000 GO82)",2.16457507332821,.8039155978200154,25.60510917127679,173.4056027771597,164.31840554,.4244394092272584,3.904710737429162,3.18469012795762,16.7,,,,,,,,,S:,
"138359 (2000 GX127)",1.141364925728592,.361200346088147,20.23965716347862,44.01971072118175,4.708533483190307,.7291035195425524,1.553626331914632,1.21939661755976,17.9,,,,,,,,,,
"138404 (2000 HA24)",1.140219314400235,.3191201694057024,2.169888133745702,309.6235601729278,141.9939165171201,.7763523336291784,1.504086295171293,1.21756117831849,19.1,,,,,,,,,,
"138524 (2000 OJ8)",2.36046912041959,.5652990715535547,6.218777574056864,226.6933991897925,181.1540052893465,1.02609811821556,3.694840122623619,3.62665035516611,16.7,,,,2.6835,,,,,Sr,
"138727 (2000 SU180)",2.103430288461892,.6074196380055182,11.88757232077549,328.1237474064841,135.9741559542141,.8257654240745269,3.381095152849258,3.0507062175517,19.0,,,,,,,,,,
"138815 (2000 TQ64)",2.089706610347063,.381188551024437,8.248578236225962,20.35637251513339,227.9302997649776,1.293134375482678,2.886278845211448,3.02089880258442,18.0,,,,,,,,,,
"138846 (2000 VJ61)",2.185150687645899,.5626436787549713,18.67313752518846,270.6263239477937,280.416828652906,.9556894661148549,3.414611909176942,3.23020651770531,15.8,,,,,,,,,,
"138847 (2000 VE62)",1.618910250721843,.2875097094380466,22.177704920091,207.136468916292,16.2427985672533,1.153457834930531,2.084362666513155,2.05988209069366,16.9,,,,,,,,,,
"138852 (2000 WN10)",1.00125602133134,.2989162017425055,21.48996528025052,60.94614192997087,225.1456985774768,.7019643744631627,1.300547668199517,1.00190354565159,20.2,,,,4.4622,,,,,,
"138859 (2000 WN63)",1.573406204568144,.5316918619469942,13.14984989024705,55.95820923421623,144.3093251434853,.7368389300623542,2.409973479073934,1.97364705050628,18.9,,,,,,,,,,
"138877 (2000 XG47)",2.142178781207363,.5416566701008718,25.26856272690357,44.00226298142626,127.4266213748383,.9818533558178388,3.302504206596887,3.13539146700583,16.6,,,,8.71,,,,,,
"138883 (2000 YL29)",1.536192075578875,.344046395424006,21.88728781817324,182.7940154331468,115.835341382659,1.007670729297041,2.06471342186071,1.9040418203139,16.7,,,,,,,,,,
"138893 (2000 YH66)",1.172810312536975,.7436258235031247,18.34346085171396,265.2904146322531,341.338156142299,.3006782780637099,2.04494234701024,1.27013494942294,18.0,,,,5.30,,,,,Xk,
"138911 (2001 AE2)",1.349710116443751,.08166691230771407,1.661221518364589,171.4767091471503,43.18513468820768,1.239483458723304,1.459936774164197,1.56808267612516,19.1,,,,,,,,,T,
"138925 (2001 AU43)",1.896592441877228,.3768452645675814,72.15899212900219,129.3142299082569,149.2911506103213,1.181870561341128,2.611314322413327,2.61197626107414,15.9,,,,,,,,,,
"138937 (2001 BK16)",2.072094487479255,.6782404557339198,31.83524670061689,99.03878056066988,252.2856316236569,.666716177967582,3.477472796990927,2.98278901692251,17.4,,,,,,,,,,
"138947 (2001 BA40)",1.119047243166397,.2538597080725296,12.84563317377619,270.9267025847719,.02213722762230734,.8349662366968067,1.403128249635988,1.18380681211915,18.7,,,,,,,,,,
"138971 (2001 CB21)",1.03451954263227,.3336056242139548,7.901841723826175,353.7759862652452,271.7396655103449,.6893980048508966,1.379641080413644,1.05224349829712,18.4,,,,3.3020,,,,,,
"139047 (2001 EB16)",1.861871107317191,.3862015656276013,46.9966823015319,149.5640504723155,346.2101778961759,1.142813570674496,2.580928643959885,2.54057851532527,17.2,,,,,,,,,,
"139056 (2001 FY)",1.886079788786249,.3271603839007941,4.73325075897483,111.266745549508,110.4151395437352,1.269029201019411,2.503130376553087,2.59028943419476,18.9,0.32,,0.52,5.207,,,,,S,
"139211 (2001 GN2)",1.859660264365743,.4522027639368586,26.06622896666093,173.5793058609696,3.360369982041644,1.018716752836005,2.700603775895481,2.53605471744676,18.0,,,,,,,,,,
"139289 (2001 KR1)",1.25953768982337,.84123557796742,23.22960164585861,102.9214040385311,291.2895178578393,.1999697733530584,2.319105606293682,1.41359484825753,17.6,,,,,,,,,,
"139345 (2001 KA67)",1.804478565298282,.702131702770045,22.3703568053216,108.5829219838818,37.70596706028837,.5374969576333515,3.071460172963213,2.42401773899586,16.8,,,,6.10,,,,,,
"139359 (2001 ME1)",2.651886995327056,.8655612094494359,5.792642866912998,86.62825405766618,300.1803780830473,.3565164803285387,4.947257510325572,4.3185775485406,16.7,,,,,,,,,,
"139622 (2001 QQ142)",1.422782712094607,.3112238413762302,9.315945022411833,83.29223946626287,337.8512563399347,.9799788109928325,1.865586613196382,1.69713375560178,18.4,,,,,,,,,Sq,
"140039 (2001 SO73)",1.820187571471659,.568774268591787,4.855199085917462,197.2433950178355,30.86906633378198,.7849117168080052,2.855463426135313,2.45574019759042,18.4,,,,,,,,,,
"140158 (2001 SX169)",1.347161950072428,.4608642889022935,2.513226719142043,126.910739247872,42.62037779243072,.7263031159160712,1.968020784228784,1.56364411301041,18.2,,,,,,,,,,
"140288 (2001 SN289)",1.783838579224968,.5075354026720598,53.2297192102712,357.1199079076291,225.5986683731368,.8784773476160688,2.689199810833867,2.38254729598636,16.5,,,,,,,,,,
"140333 (2001 TD2)",.9619996580382446,.4814947925926112,19.03289299671901,12.87025150596753,199.0576247484849,.4988018322169571,1.425197483859532,0.943562296553661,18.8,,,,,,,,,,
"140928 (2001 VG75)",1.518777771343271,.2968235044611161,20.66402151995091,245.5074467096286,257.2608661104307,1.067968830755518,1.969586711931024,1.87175736474739,18.1,,,,,,,,,,
"141018 (2001 WC47)",1.399556574093588,.2415789855694395,2.868516979872501,91.6769567037901,101.3086790483168,1.061453116677019,1.737660031510156,1.65574666949138,18.9,,,,16.51,,,,,,
"141052 (2001 XR1)",1.245615759591568,.5501239429348307,17.65958607597464,291.5539769601514,304.119106598258,.5603727065432903,1.930858812639845,1.39022259819821,17.3,,,,,,,,,Sq,
"141053 (2001 XT1)",1.527582959176907,.5793600167485055,2.741653055762578,316.4489304590243,31.1328266184087,.6425624703634427,2.412603447990372,1.88805834049777,18.7,,,,,,,,,,
"141056 (2001 XV4)",1.817285997803152,.4443619489903787,28.85937672534046,259.2203298658974,300.4903750313015,1.009753249946418,2.624818745659885,2.44987046959312,17.2,,,,,,,,,,
"141078 (2001 XQ30)",1.863097075831138,.4505979511465633,11.47189759785837,234.8262066688658,270.5436164369472,1.023589350674474,2.702604800987803,2.54308823411311,18.9,,,,,,,,,,
"141079 (2001 XS30)",1.164612100529092,.828206394084779,28.5344002807912,251.4711215311529,.8648088785512452,.2000729122423925,2.129151288815791,1.25684045004569,17.7,,,,,,,,,Xc,
"141354 (2002 AJ29)",1.990015561286608,.4504672033972069,10.91280486178755,203.9872246169241,.4853701562600926,1.093578816676907,2.886452305896309,2.80732640767849,17.3,,,,,,,,,,
"141424 (2002 CD)",.9796058703540358,.1765669064090293,6.876882943692732,8.710582156083552,331.7064822759065,.806639892325499,1.152571848382573,0.969583621750631,20.5,,,,,,,,,,
"141432 (2002 CQ11)",.97871581139916,.428329955227083,2.4633468915271,81.36622097250859,272.7894840417067,.5595025117225196,1.3979291110758,0.968262492677506,20.0,,,,2.605,,,,,,
"141447 (2002 CW59)",2.382460165772107,.5058120918423441,32.0987297697972,151.1461471128058,7.215272893397066,1.17738300559186,3.587537325952355,3.67744913414257,17.1,,,,,,,,,,
"141484 (2002 DB4)",.8579181481388687,.36952086776142,16.60233777054939,234.2894524734761,94.0963580133686,.5408994895703234,1.174936806707414,0.794652006908959,16.4,,,,,,,,,,
"141495 (2002 EZ11)",1.114263964798589,.8020705169095986,2.352630637355757,51.97503128158892,317.6676434625188,.220545690578846,2.007982239018333,1.17622479677447,18.2,,,,2.3270,,,,,,
"141498 (2002 EZ16)",.9215872698679719,.566539366960885,30.1453246620828,262.923498843869,25.33196707219066,.3994718013977608,1.443702738338183,0.884734377971435,18.3,,,,,,,,,,
"141525 (2002 FV5)",1.086818792000656,.7247110948393628,34.01695526193801,38.90762425159605,308.0557611643514,.2991891553578668,1.874448428643444,1.13303652702522,17.9,,,,,,,,,,
"141526 (2002 FA6)",1.013948300122025,.3224260505092491,30.09832134573336,174.695236668126,173.3729447764127,.6870249542931138,1.340871645950937,1.02101452272723,19.9,,,,,,,,,,
"141527 (2002 FG7)",1.513972728765109,.6268545717215306,9.195960316478988,187.6642270356662,247.4858698692165,.5649320022769798,2.463013455253239,1.86288171818301,18.9,,,,,,,,,,
"141531 (2002 GB)",.9920764238993169,.5289370455128188,22.55503356988769,40.83612322354062,8.315449720620387,.4673304513190894,1.516822396479544,0.988156873239644,19.0,,,,,,,,,,
"141593 (2002 HK12)",2.001295520929209,.5299901798392121,2.359538798624504,307.1328955588659,2.043906944224022,.9406285478805276,3.06196249397789,2.83122925589811,18.1,,,,12.690,,,,,,
"141614 (2002 JV15)",1.623387872779602,.5365709938689902,7.176328939375794,200.736082086527,127.2219650247399,.7523250284473854,2.49445071711182,2.06843390643214,19.4,,,,,,,,,,
"141670 (2002 JS100)",2.385612994610872,.4842663887159957,13.32840969693467,144.3095494508451,191.5335344525552,1.230340804836713,3.540885184385032,3.68475137754799,16.6,,,,,,,,,,
"141761 (2002 MC)",2.576388144363469,.5088383336851636,18.90633373067102,151.5826543784989,159.8963112717148,1.26542309405935,3.887353194667587,4.1354725293574,17.3,,,,,,,,,,
"141765 (2002 MP3)",1.999592884059403,.4686823650239897,33.07330015876668,100.4176672351075,270.1164899236805,1.062418962073301,2.936766806045504,2.82761694839826,16.2,,,,,,,,,,
"141851 (2002 PM6)",1.197938569084513,.8500806048612747,19.18503488224689,304.1691797921769,224.3599046028178,.1795942256905002,2.216282912478525,1.31117307962399,17.7,,,,,,,,,,
"141874 (2002 PO34)",1.834766741717894,.348522548319698,10.98455011932823,143.7216284926778,290.8951113307406,1.195309161322144,2.474224322113644,2.48530384127413,17.8,,,,,,,,,,
"142040 (2002 QE15)",1.666960938227892,.3446350255937849,28.24487917057393,226.4258935835496,160.4472816609596,1.092467812617883,2.241454063837902,2.15226794237122,16.2,,,,2.5811,,,,,,
"142348 (2002 RX211)",2.06519319209491,.4582141492887454,6.063904325455691,96.72004231014023,324.1551681366984,1.118892450462232,3.011493933727589,2.96789976461869,18.2,,,,5.0689,,,,,,
"142464 (2002 TC9)",1.233548318676554,.1544793416503337,16.27750356259465,191.8638558001469,29.26542384532524,1.042990586513524,1.424106050839584,1.37006903455637,18.1,,,,,,,,,,
"142555 (2002 TB58)",2.62832117545837,.5657392213018168,23.40778075895739,219.369862642201,267.9275735163158,1.141376800323476,4.115265550593263,4.26114049153428,16.2,,,,,,,,,,
"142561 (2002 TX68)",1.67441064762069,.2934029162818519,16.64865427917351,150.1845019635677,122.3860409471407,1.183133680555395,2.165687614685984,2.16671189624043,18.1,,,,,,,,,,
"142563 (2002 TR69)",1.659932469372238,.3434776230870692,20.48961599905477,342.0068915075346,192.1696531593955,1.089782810307212,2.230082128437263,2.13867027069421,17.1,,,,,,,,,,
"142781 (2002 UM11)",1.950891218873018,.3875009688467152,41.03683638749359,229.0362577273374,229.0140214726702,1.194918981445174,2.706863456300861,2.72494526490287,16.1,,,,,,,,,,
"143381 (2003 BC21)",2.601558215178544,.5069043021913855,5.463219634215662,292.6164078833378,113.5843282380606,1.282817163503198,3.920299266853891,4.19622266428658,16.1,,,,,,,,,,
"143404 (2003 BD44)",1.966437493423107,.6060058495301082,2.665915119304548,181.3645129203383,89.23134200538381,.7747648696733805,3.158110117172833,2.75758191080386,16.7,,,,,,,,,,
"143409 (2003 BQ46)",1.949439427163721,.3510598938222758,8.166299431516455,163.8375246791173,44.14472725697275,1.265069428850667,2.633809425476775,2.72190410339024,17.6,,,,,,,,,,
"143487 (2003 CR20)",2.124938767849405,.7303636043985638,4.984415183565699,177.3410298828819,88.5864375649617,.5729608302366705,3.67691670546214,3.09761780678129,18.7,,,,,,,,,,
"143527 (2003 EN16)",1.661398042608478,.3521199531793677,17.31036938024441,181.7853210282651,242.0965772270509,1.076386641632888,2.246409443584069,2.14150328020852,18.6,,,,,,,,,,
